area_fips,2020,2023,difference,percentage_of_2023
01000,4258418,4591025,332607,7.2447220391960405
01001,21916,24274,2358,9.714097388151933
01003,148248,165450,17202,10.397098821396192
01005,15636,15318,-318,-2.0759890325107717
01007,9432,9702,270,2.782931354359926
01009,16832,17910,1078,6.018983807928532
01011,5856,5728,-128,-2.2346368715083798
01013,12870,13872,1002,7.2231833910034595
01015,87428,85960,-1468,-1.7077710563052584
01017,17092,17858,766,4.289394109082764
01019,10072,10528,456,4.331306990881459
01021,18152,18176,24,0.13204225352112675
01023,7466,6678,-788,-11.799940101826895
01025,16014,16442,428,2.603089648461258
01027,8634,8520,-114,-1.3380281690140845
01029,4250,5346,1096,20.50130939019828
01031,32448,34394,1946,5.657963598302029
01033,47404,48082,678,1.4100910943804335
01035,6652,6636,-16,-0.24110910186859552
01037,2548,3000,452,15.066666666666666
01039,23348,24218,870,3.5923693120819222
01041,6908,7236,328,4.532891100055279
01043,57802,61722,3920,6.351057969605652
01045,34252,36210,1958,5.407346037006352
01047,22642,22748,106,0.465975030771936
01049,43956,46558,2602,5.588728038145969
01051,39364,41568,2204,5.302155504234026
01053,24242,25916,1674,6.4593301435406705
01055,64986,65950,964,1.461713419257013
01057,7894,7628,-266,-3.487152595700052
01059,21696,21654,-42,-0.19395954558049322
01061,10376,10834,458,4.2274321580210446
01063,3664,3744,80,2.1367521367521367
01065,5008,5288,280,5.29500756429652
01067,7280,8034,754,9.385113268608414
01069,96596,102210,5614,5.492613247236083
01071,29530,31334,1804,5.7573243122486755
01073,686276,734924,48648,6.619459971371189
01075,6612,6944,332,4.78110599078341
01077,58148,62308,4160,6.676510239455608
01079,9990,11336,1346,11.873676781933664
01081,118488,134398,15910,11.837973779371717
01083,50520,66566,16046,24.105399152720608
01085,4654,5996,1342,22.3815877251501
01087,9030,9486,456,4.80708412397217
01089,413310,459808,46498,10.112481731505325
01091,13892,14826,934,6.299743693511399
01093,20954,21706,752,3.464479867317792
01095,75852,81832,5980,7.307654707205005
01097,332090,345294,13204,3.8239876742717804
01099,12430,11866,-564,-4.753076015506489
01101,253650,267238,13588,5.0846062311497615
01103,99666,104752,5086,4.855277226210478
01105,3848,3608,-240,-6.651884700665188
01107,7008,7672,664,8.654848800834202
01109,26287,30752,4465,14.519380853277836
01111,9274,9894,620,6.26642409541136
01113,27600,28580,980,3.4289713086074176
01115,37760,43398,5638,12.991382091340615
01117,165292,173396,8104,4.673694894922606
01119,5716,5860,144,2.457337883959044
01121,59012,63444,4432,6.985688165941618
01123,25918,25480,-438,-1.718995290423862
01125,181366,198370,17004,8.571860664414983
01127,35264,37310,2046,5.483784508174752
01129,6842,12098,5256,43.4451975533146
01131,5308,5252,-56,-1.0662604722010662
01133,16106,16040,-66,-0.4114713216957606
01999,124264,168744,44480,26.359455743611626
02000,655649,701318,45669,6.511881913768076
02013,2136,1628,-508,-31.203931203931205
02016,4814,4130,-684,-16.56174334140436
02020,251422,289846,38424,13.256694934551453
02050,12952,12562,-390,-3.1046011781563445
02060,1022,1182,160,13.536379018612521
02063,5716,6384,668,10.463659147869674
02066,1778,1868,90,4.817987152034261
02068,1612,1878,266,14.164004259850904
02070,3918,3754,-164,-4.3686734150239745
02090,68612,72392,3780,5.221571444358493
02100,1372,1590,218,13.71069182389937
02105,1270,1446,176,12.171507607192254
02110,30938,32298,1360,4.210787045637501
02122,36084,39558,3474,8.782041559229487
02130,12212,12826,614,4.787151099329487
02150,9320,9348,28,0.2995293110825845
02158,3832,4054,222,5.4760730143068574
02164,973,1372,399,29.081632653061224
02170,50474,56572,6098,10.779184048645973
02180,7540,7676,136,1.771756122980719
02185,19070,22274,3204,14.384484151926014
02188,5918,5740,-178,-3.1010452961672477
02195,2224,2184,-40,-1.8315018315018317
02198,4174,3994,-180,-4.506760140210315
02220,6986,7574,588,7.763401109057301
02230,661,976,315,32.27459016393443
02240,5084,6232,1148,18.421052631578945
02275,1324,1456,132,9.065934065934066
02282,516,562,46,8.185053380782918
02290,4340,4418,78,1.765504753282028
02999,3964,6584,2620,39.79343863912515
04000,6209272,6883314,674042,9.79240522806311
04001,33614,34172,558,1.6329158375278006
04003,71072,69924,-1148,-1.6417825067215834
04005,112532,130322,17790,13.65080339466859
04007,28508,30232,1724,5.702566816618153
04009,19670,21402,1732,8.09270161667134
04011,9850,11166,1316,11.785778255418233
04012,11728,12582,854,6.787474169448418
04013,4139850,4564432,424582,9.301967911889147
04015,102796,111650,8854,7.930138826690551
04017,53538,56244,2706,4.811179859184979
04019,734944,789336,54392,6.890855098462505
04021,127910,149758,21848,14.588870043670454
04023,27062,28572,1510,5.284894302113958
04025,129162,141596,12434,8.781321506257239
04027,147394,159864,12470,7.8003803232747835
04999,68606,158086,89480,56.60210265298635
05000,2588859,2799450,210591,7.522584793441569
05001,20748,20590,-158,-0.7673627974745022
05003,11392,11734,342,2.9146071245951934
05005,30112,32210,2098,6.513505122632724
05007,248872,282292,33420,11.838805208790898
05009,27882,29250,1368,4.676923076923077
05011,7278,7428,150,2.0193861066235863
05013,7004,6182,-822,-13.29666774506632
05015,21090,21110,20,0.09474182851729039
05017,5576,5466,-110,-2.012440541529455
05019,17080,17464,384,2.1988089784699953
05021,6220,6024,-196,-3.2536520584329347
05023,12402,12964,562,4.33508176488738
05025,1976,2186,210,9.606587374199451
05027,15472,16534,1062,6.4231280996734
05029,13852,13514,-338,-2.501109960041439
05031,104424,109928,5504,5.006913616185139
05033,38738,38988,250,0.6412229403919154
05035,30522,31662,1140,3.600530604510138
05037,9166,9542,376,3.9404736952420873
05039,5350,5216,-134,-2.5690184049079754
05041,8936,8782,-154,-1.7535868822591665
05043,13014,12682,-332,-2.6178836145718343
05045,81944,90798,8854,9.751316108284323
05047,9308,9850,542,5.50253807106599
05049,4164,3692,-472,-12.784398699891659
05051,72050,76576,4526,5.910468031759298
05053,8150,8964,814,9.080767514502455
05055,29880,31988,2108,6.589971239214705
05057,14982,15476,494,3.192039286637374
05059,16440,16218,-222,-1.368849426563078
05061,13072,12502,-570,-4.5592705167173255
05063,32794,35034,2240,6.393788890791802
05065,5546,6008,462,7.689747003994674
05067,10272,10100,-172,-1.7029702970297032
05069,53334,51634,-1700,-3.2924042297710807
05071,16374,16568,194,1.170931916948334
05073,2096,1976,-120,-6.0728744939271255
05075,7664,8166,502,6.147440607396523
05077,2799,3394,595,17.53093694755451
05079,5356,5200,-156,-3.0
05081,6064,6148,84,1.3662979830839297
05083,10346,10402,56,0.5383580080753702
05085,27564,30564,3000,9.815469179426776
05087,6782,7142,360,5.04060487258471
05089,6544,6616,72,1.0882708585247884
05091,24054,24930,876,3.513838748495788
05093,33678,37186,3508,9.433657828214919
05095,3860,3650,-210,-5.7534246575342465
05097,2262,2500,238,9.520000000000001
05099,4606,3802,-804,-21.146764860599685
05101,2006,1966,-40,-2.034587995930824
05103,13202,14550,1348,9.264604810996564
05105,2274,2072,-202,-9.749034749034749
05107,10206,9076,-1130,-12.4504186866461
05109,5210,5252,42,0.7996953541507997
05111,10296,10486,190,1.811939729162693
05113,11364,11802,438,3.7112353838332486
05115,48798,54562,5764,10.564128880906125
05117,3080,3184,104,3.2663316582914574
05119,484120,524448,40328,7.6896088840075665
05121,11924,11918,-6,-0.05034401745259272
05123,13500,13524,24,0.1774622892635315
05125,51118,54912,3794,6.909236596736597
05127,6028,6456,428,6.629491945477076
05129,2818,2780,-38,-1.3669064748201438
05131,124836,135606,10770,7.942126454581655
05133,9624,10064,440,4.372019077901431
05135,6794,7962,1168,14.669680984677216
05137,4932,5426,494,9.104312569111684
05139,32762,33410,648,1.9395390601616282
05141,6686,7602,916,12.0494606682452
05143,218558,242272,23714,9.788171971998414
05145,48202,51540,3338,6.476523088863019
05147,3610,3914,304,7.766990291262135
05149,12998,13272,274,2.0644966847498494
05999,75779,120466,44687,37.095113974067374
06000,35172615,38888644,3716029,9.555563315604422
06001,1465048,1601882,136834,8.542077381480034
