area_fips,2020,2023,difference,percentage_of_2023
01129,7080,12098,5018,41.47793023640271
01131,5534,5252,-282,-5.36938309215537
01133,16452,16040,-412,-2.56857855361596
01999,110622,168744,58122,34.443891338358696
02000,688351,701318,12967,1.8489472678585177
02013,4112,1628,-2484,-152.57985257985257
02016,7218,4130,-3088,-74.76997578692493
02020,268745,289846,21101,7.280072866280715
02050,14056,12562,-1494,-11.893010667091227
02060,990,1182,192,16.243654822335024
02063,5590,6384,794,12.43734335839599
02066,1656,1868,212,11.349036402569594
02068,1654,1878,224,11.92758253461129
02070,3952,3754,-198,-5.27437400106553
02090,70794,72392,1598,2.2074262349430875
02100,1342,1590,248,15.59748427672956
02105,1224,1446,222,15.352697095435685
02110,32204,32298,94,0.291039692860239
02122,36270,39558,3288,8.311845897163659
02130,12292,12826,534,4.163418057071573
02150,10080,9348,-732,-7.830551989730424
02158,4006,4054,48,1.1840157868771584
02164,965,1372,407,29.664723032069972
02170,48646,56572,7926,14.010464540762216
02180,7600,7676,76,0.9900990099009901
02185,26832,22274,-4558,-20.463320463320464
02188,5714,5740,26,0.45296167247386765
02195,2270,2184,-86,-3.9377289377289375
02198,4074,3994,-80,-2.0030045067601403
02220,6954,7574,620,8.185899128597834
02230,669,976,307,31.454918032786882
02240,4662,6232,1570,25.19255455712452
02275,1490,1456,-34,-2.3351648351648353
02282,420,562,142,25.26690391459075
02290,4050,4418,368,8.329560887279312
02999,2800,6584,3784,57.4726609963548
04000,6335598,6883314,547716,7.9571555213084855
04001,35904,34172,-1732,-5.068477115767295
04003,70330,69924,-406,-0.5806303987186088
04005,121510,130322,8812,6.761713294762204
04007,28832,30232,1400,4.630854723471818
04009,19286,21402,2116,9.886926455471452
04011,10362,11166,804,7.2004298764105314
04012,12168,12582,414,3.290414878397711
04013,4201908,4564432,362524,7.942368294675001
04015,103930,111650,7720,6.914464845499328
04017,52668,56244,3576,6.358011521228931
04019,760936,789336,28400,3.5979608176999403
04021,130002,149758,19756,13.191949678815154
04023,28360,28572,212,0.7419851602967941
04025,131492,141596,10104,7.135794796463177
04027,156478,159864,3386,2.1180503427913724
04999,67394,158086,90692,57.36877395847829
05000,2627814,2799450,171636,6.131061458500777
05001,20516,20590,74,0.35939776590577954
05003,11936,11734,-202,-1.7214930969831261
05005,29868,32210,2342,7.27103384042223
05007,251630,282292,30662,10.861802672410128
05009,28210,29250,1040,3.5555555555555554
05011,7656,7428,-228,-3.0694668820678515
05013,6338,6182,-156,-2.5234551924943385
05015,21206,21110,-96,-0.4547607768829938
05017,5712,5466,-246,-4.500548847420418
05019,18000,17464,-536,-3.0691708657810355
05021,5984,6024,40,0.6640106241699867
05023,12482,12964,482,3.7179882752236963
05025,2164,2186,22,1.0064043915827996
05027,16090,16534,444,2.685375589693964
05029,13232,13514,282,2.0867248779043956
05031,105210,109928,4718,4.291900152827305
05033,39612,38988,-624,-1.600492459218221
05035,32608,31662,-946,-2.987808729707536
05037,9556,9542,-14,-0.1467197652483756
05039,5220,5216,-4,-0.07668711656441718
05041,9284,8782,-502,-5.716237759052607
05043,12986,12682,-304,-2.3970982494874624
05045,82552,90798,8246,9.08169783475407
05047,9534,9850,316,3.2081218274111674
05049,4250,3692,-558,-15.113759479956663
05051,74698,76576,1878,2.452465524446302
05053,8382,8964,582,6.492637215528782
05055,30442,31988,1546,4.8330623983994
05057,15154,15476,322,2.0806409925045233
05059,17062,16218,-844,-5.204094216302874
05061,12972,12502,-470,-3.7593984962406015
05063,32586,35034,2448,6.987497859222469
05065,5846,6008,162,2.6964047936085223
05067,10202,10100,-102,-1.00990099009901
05069,53542,51634,-1908,-3.695239570825425
05071,17018,16568,-450,-2.7160791887976825
05073,2214,1976,-238,-12.044534412955466
05075,7786,8166,380,4.6534410972324265
05077,2860,3394,534,15.733647613435476
05079,5418,5200,-218,-4.1923076923076925
05081,6770,6148,-622,-10.117111255692908
05083,10566,10402,-164,-1.5766198807921554
05085,27646,30564,2918,9.547179688522444
05087,6904,7142,238,3.332399887986558
05089,7408,6616,-792,-11.970979443772672
05091,26640,24930,-1710,-6.859205776173286
05093,35366,37186,1820,4.894315064809337
05095,3940,3650,-290,-7.9452054794520555
05097,2376,2500,124,4.96
05099,4996,3802,-1194,-31.404523934771174
05101,1108,1966,858,43.641912512716175
05103,13430,14550,1120,7.697594501718213
05105,2246,2072,-174,-8.397683397683398
05107,10430,9076,-1354,-14.918466284706918
05109,5204,5252,48,0.913937547600914
05111,9964,10486,522,4.978065992752241
05113,11650,11802,152,1.2879173021521777
05115,49882,54562,4680,8.577398189215938
05117,2970,3184,214,6.721105527638191
05119,498926,524448,25522,4.866450057965708
05121,11788,11918,130,1.0907870448061756
05123,14384,13524,-860,-6.359065365276545
05125,49982,54912,4930,8.978001165501166
05127,6236,6456,220,3.407682775712516
05129,2894,2780,-114,-4.100719424460432
05131,127084,135606,8522,6.284382696930814
05133,9452,10064,612,6.081081081081082
05135,6956,7962,1006,12.63501632755589
05137,4958,5426,468,8.625138223368964
05139,33904,33410,-494,-1.4785992217898831
05141,6734,7602,868,11.41804788213628
05143,221402,242272,20870,8.614284770836084
05145,48012,51540,3528,6.845168800931316
05147,3508,3914,406,10.37301992846193
05149,13040,13272,232,1.7480409885473176
05999,35294,120466,85172,70.7021068185214
06000,37761762,38888644,1126882,2.8977148187527444
06001,1583156,1601882,18726,1.168999963792589
06003,1828,2600,772,29.69230769230769
06005,24740,24778,38,0.15336185325692148
06007,158578,157408,-1170,-0.7432913193738564
06009,19856,20326,470,2.312309357473187
06011,16244,18330,2086,11.38025095471904
06013,740964,747426,6462,0.8645671946119081
06015,16330,16094,-236,-1.4663849881943583
06017,113882,116742,2860,2.4498466704356616
06019,786340,841340,55000,6.5371906720232005
06021,18372,18714,342,1.827508816928503
06023,99568,101466,1898,1.8705773362505667
06025,128792,129644,852,0.6571842892845021
06027,15184,15312,128,0.8359456635318705
06029,659890,686730,26840,3.908377382668589
06031,96016,101404,5388,5.313399865883003
06033,32434,33186,752,2.2660157897908757
06035,18418,18116,-302,-1.6670346654890704
06037,9019226,9090550,71324,0.7845949915021643
06039,103366,113112,9746,8.616238772190396
06041,229808,224468,-5340,-2.3789582479462554
06043,10878,11552,674,5.834487534626039
06045,63714,64034,320,0.4997345160383546
06047,157132,164718,7586,4.605446884979177
06049,4772,5220,448,8.582375478927203
06051,16638,16038,-600,-3.7411148522259636
06053,349624,355042,5418,1.5260166402848114
06055,151080,151654,574,0.3784931488783678
06057,65806,70390,4584,6.512288677368945
06059,3303298,3338142,34844,1.0438141936442487
06061,347862,369400,21538,5.830536004331348
06063,11770,12256,486,3.965404699738903
06065,1550884,1653800,102916,6.223001572136897
06067,1373420,1436632,63212,4.400013364591628
06069,32348,33824,1476,4.363765373699149
06071,1582058,1716768,134710,7.846721280918563
06073,2975674,3086052,110378,3.576673367785118
06075,1520984,1439948,-81036,-5.627703222616373
06077,517820,572636,54816,9.572573152927863
06079,236356,237096,740,0.3121098626716604
06081,836426,845178,8752,1.0355215114449263
06083,409624,420694,11070,2.631366266217251
06085,2252176,2252918,742,0.0329350646583675
06087,202604,203356,752,0.36979484254214284
06089,133776,138512,4736,3.4191983366062146
06091,1024,1154,130,11.265164644714037
06093,26918,27356,438,1.6011112735780084
06095,283420,286216,2796,0.9768845906588032
06097,417916,414600,-3316,-0.7998070429329475
06099,380442,391282,10840,2.77038044172745
06101,60872,64056,3184,4.970650680654427
06103,37596,40240,2644,6.570576540755467
06105,5128,5568,440,7.902298850574713
06107,324398,352058,27660,7.85665998216203
06109,34310,34768,458,1.3173032673722964
06111,657010,664814,7804,1.1738621629508403
06113,210114,217004,6890,3.175056680982839
06115,38476,41692,3216,7.713710064280916
06999,750124,1076698,326574,30.331067764591367
08000,5898340,6297790,399450,6.342701169775429
08001,453868,499224,45356,9.085300386199382
08003,16158,16420,262,1.5956151035322779
08005,664070,684098,20028,2.927650716710179
08007,8340,9626,1286,13.359650945356327
08009,2212,2398,186,7.756463719766472
08011,2258,2354,96,4.078164825828377
08013,346570,392970,46400,11.807517113265643
08014,80451,87168,6717,7.705809471365639
08015,15702,18950,3248,17.139841688654354
08017,1124,1474,350,23.7449118046133
08019,6880,7012,132,1.8824871648602397
08021,2343,3358,1015,30.2263251935676
08023,1860,2052,192,9.35672514619883
08025,1714,2410,696,28.879668049792528
08027,1602,1972,370,18.76267748478702
08029,16554,17750,1196,6.738028169014084
08031,1062342,1142712,80370,7.0332682250645835
08033,816,1176,360,30.612244897959183
08035,261328,292748,31420,10.732780411821771
08037,73536,73122,-414,-0.5661770739312382
08039,7396,9748,2352,24.12802626179729
08041,569098,624540,55442,8.877253658692798
08043,26484,28622,2138,7.469778492069038
08045,50362,55084,4722,8.572362210442233
08047,9026,9174,148,1.6132548506649227
08049,16352,17544,1192,6.794345645234838
08051,17714,19606,1892,9.650107110068348
08053,246,568,322,56.690140845070424
08055,3424,3592,168,4.67706013363029
08057,1054,1142,88,7.705779334500876
08059,485928,497392,11464,2.30482195129797
08061,747,984,237,24.085365853658537
08063,5776,6216,440,7.078507078507079
08065,5070,5666,596,10.518884574655841
08067,51304,55110,3806,6.906187624750499
08069,327218,353892,26674,7.5373277723147165
08071,9752,9564,-188,-1.9657047260560434
08073,4390,4520,130,2.8761061946902653
08075,15560,15710,150,0.9548058561425843
08077,124224,132948,8724,6.5619640761801605
08079,1384,1458,74,5.075445816186557
08081,9074,9712,638,6.569192751235585
08083,17634,18834,1200,6.371455877668048
08085,30598,33834,3236,9.564343559732812
08087,25300,25756,456,1.7704612517471658
08089,11972,12384,412,3.3268733850129197
08091,3732,4520,788,17.43362831858407
08093,4844,6150,1306,21.23577235772358
08095,3342,3454,112,3.242617255356109
08097,35794,38862,3068,7.894601410117853
08099,9044,9904,860,8.683360258481422
08101,125174,125962,788,0.6255854940378844
08103,5554,5824,270,4.635989010989011
08105,7790,8646,856,9.90053203793662
08107,33334,35334,2000,5.660270560932813
08109,3028,3320,292,8.795180722891565
08111,524,736,212,28.804347826086957
08113,12496,13208,712,5.390672319806178
08115,1594,1442,-152,-10.540915395284326
08117,50480,49932,-548,-1.0974925899222943
08119,14534,16642,2108,12.66674678524216
08121,1940,2414,474,19.63545981772991
08123,226832,235740,8908,3.7787392890472553
08125,7794,8058,264,3.276247207743857
08999,20717,56984,36267,63.64418082268707
09000,3532548,3609907,77359,2.1429637938041064
09001,820412,842410,21998,2.6113175294690234
09003,1022976,1011056,-11920,-1.1789653589909954
09005,113226,123518,10292,8.33238880163215
09007,134732,141136,6404,4.537467407323432
09009,732992,762948,29956,3.9263488468414627
09011,238434,239430,996,0.4159879714321513
09013,80410,50133,-30277,-60.39335367921329
09015,69817,40830,-28987,-70.99436688709282
09999,76447,51966,-24481,-47.109648616403035
10000,953012,1014200,61188,6.033129560244528
10001,80949,85227,4278,5.0195360625153995
10003,580948,608422,27474,4.515615806134558
10005,150534,170342,19808,11.628371159197378
10999,7219,8628,1409,16.330551692165045
11000,1787940,1755440,-32500,-1.8513876862780843
11001,1551044,1521854,-29190,-1.9180552142321141
11999,128,108,-20,-18.51851851851852
12000,19065455,20898218,1832763,8.769948710459428
12001,268740,279996,11256,4.020057429391848
12003,15264,14810,-454,-3.0654962862930453
12005,146468,160650,14182,8.827886710239651
12007,10650,12854,2204,17.146413567761005
12009,447540,484916,37376,7.707726699057156
12011,1658242,1750990,92748,5.296889188401989
12013,5878,6334,456,7.199242185033154
12015,99662,112580,12918,11.474507017232192
12017,64588,69880,5292,7.572982255294791
12019,107306,114660,7354,6.413744985173557
12021,317116,347194,30078,8.663168142306606
12023,49518,49916,398,0.7973395304110906
12027,19338,19644,306,1.5577275503970678
12029,5578,5988,410,6.847027388109553
12031,1055142,1134640,79498,7.006451385461468
12033,278042,292702,14660,5.00850694563071
12035,49060,56522,7462,13.201939067973534
12037,6492,6910,418,6.049204052098408
12039,30858,34412,3554,10.32779263047774
12041,7142,7572,430,5.678816693079767
12043,4164,3978,-186,-4.675716440422323
12045,7676,9002,1326,14.73005998666963
12047,5856,5962,106,1.7779268701777928
12049,14042,15318,1276,8.330069199634417
12051,24910,25552,642,2.5125234815278645
12053,90266,102092,11826,11.583669631312933
12055,54668,58338,3670,6.290925297404779
12057,1438646,1595682,157036,9.841309233293352
12059,7018,7436,418,5.621301775147929
12061,109060,116826,7766,6.647492852618424
12063,29318,30438,1120,3.679611012550102
12065,5204,5966,762,12.772376801877305
12067,2794,2696,-98,-3.635014836795252
12069,207922,236024,28102,11.906416296647798
12071,551514,604200,52686,8.719960278053625
12073,305614,324148,18534,5.717758554734257
12075,17814,18724,910,4.860072634052552
12077,3906,3748,-158,-4.215581643543223
12079,9200,9878,678,6.863737598704191
12081,267400,289608,22208,7.668296455899008
12083,215970,239844,23874,9.95397008055236
12085,141320,154528,13208,8.547318285359287
12086,2349232,2534722,185490,7.317962285410393
12087,84610,94110,9500,10.094570183827436
12089,47886,54900,7014,12.775956284153006
12091,169966,179990,10024,5.569198288793822
12093,23268,24822,1554,6.260575296108291
12095,1747400,1910456,163056,8.534925693132948
12097,202734,226084,23350,10.32801967410343
12099,1248474,1353378,104904,7.751271263460763
12101,248504,288900,40396,13.98269297334718
12103,880646,913422,32776,3.5882647888927575
12105,466764,528982,62218,11.761836886699358
12107,32252,34980,2728,7.79874213836478
12109,162240,198140,35900,18.11850206924397
12111,163052,181618,18566,10.222555033091433
12113,79218,87742,8524,9.7148457979075
12115,347246,385032,37786,9.813729767915394
12117,400068,428588,28520,6.654409362837971
12119,65172,80350,15178,18.889856876166768
12121,22926,24036,1110,4.618072890664004
12123,12856,13158,302,2.2951816385468917
12125,4886,7014,2128,30.33932135728543
12127,351798,379228,27430,7.233115698207938
12129,11842,13182,1340,10.165377029282356
12131,54480,67570,13090,19.372502589906762
12133,12360,12464,104,0.8344030808729139
12999,608644,928812,320168,34.47070020628502
13000,9685573,10426892,741319,7.109683307355634
13001,14256,14960,704,4.705882352941177
13003,4494,4522,28,0.6191950464396285
13005,7448,7650,202,2.6405228758169934
13007,749,854,105,12.295081967213115
13009,31408,31700,292,0.9211356466876972
13011,8616,9804,1188,12.11750305997552
13013,41936,46690,4754,10.182051831227243
13015,83254,92022,8768,9.528156310447502
13017,11074,11702,628,5.366603999316356
13019,6836,7594,758,9.981564392941795
13021,166542,161080,-5462,-3.390861683635461
13023,4203,5938,1735,29.21859211855844
13025,5066,5204,138,2.651806302843966
13027,6660,6672,12,0.1798561151079137
13029,18064,22122,4058,18.343730223307116
13031,51828,55544,3716,6.690191559844448
13033,29974,14940,-15034,-100.62918340026773
13035,14710,16854,2144,12.721015782603537
13037,1690,2502,812,32.454036770583535
13039,28858,31214,2356,7.547895175241878
13043,6404,7226,822,11.375588153888735
13045,83646,89952,6306,7.010405549626468
13047,31640,32342,702,2.1705522231154535
13049,3960,3942,-18,-0.45662100456621
13051,319010,343312,24302,7.078692268257446
13053,4278,4754,476,10.012620950778292
13055,11156,10196,-960,-9.415457041977247
13057,133146,147462,14316,9.708263823900394
13059,140480,149290,8810,5.9012659923638555
13061,1268,1216,-52,-4.276315789473684
13063,246080,265718,19638,7.390541852640769
13065,4440,5098,658,12.907022361710474
13067,744380,775534,31154,4.0171030541536545
13069,34428,36256,1828,5.041924095322154
13071,30026,31170,1144,3.670195700994546
13073,74788,78516,3728,4.748076825105711
13075,8712,9454,742,7.848529722868627
13077,81388,98910,17522,17.715094530381155
13079,2490,2448,-42,-1.715686274509804
13081,16412,18094,1682,9.295899193102686
13083,7528,8678,1150,13.251901359760312
13085,18406,21644,3238,14.960266124561079
13087,16332,16504,172,1.0421715947649055
13089,605748,632634,26886,4.249850624531719
13091,9690,10152,462,4.550827423167849
13093,7310,5294,-2016,-38.08084624102758
13095,96566,92074,-4492,-4.878684536351196
13097,88446,103484,15038,14.53171504773685
13099,8422,7436,-986,-13.259817105970953
13101,920,1350,430,31.851851851851855
13103,21422,26648,5226,19.61122785950165
13105,11668,12466,798,6.401411840205358
13107,13390,14634,1244,8.500751674183409
13109,8792,8788,-4,-0.04551661356395084
13111,12796,14392,1596,11.089494163424124
13113,91126,99730,8604,8.627293692971023
13115,78812,89040,10228,11.486972147349505
13117,153518,174062,20544,11.802690995162642
13119,15794,15800,6,0.0379746835443038
13121,1811954,1901112,89158,4.689781559424168
13123,14208,15668,1460,9.318355884605566
13125,618,774,156,20.155038759689923
13127,75526,82680,7154,8.652636671504595
13129,47128,49698,2570,5.171234254899593
13131,11954,11838,-116,-0.9798952525764487
13133,12714,14050,1336,9.508896797153026
13135,724810,771416,46606,6.041616974498844
13137,28230,28982,752,2.594713960389207
13139,180426,204448,24022,11.749686961965878
13141,2952,2850,-102,-3.578947368421052
13143,14000,15180,1180,7.7733860342556
13145,10288,13712,3424,24.970828471411902
13147,13266,15750,2484,15.771428571428572
13149,4084,4300,216,5.023255813953488
13151,134498,151604,17106,11.283343447402443
13153,125200,130222,5022,3.8564912226812673
13155,3954,4112,158,3.842412451361868
13157,63734,98208,34474,35.10304659498208
13159,4638,5048,410,8.12202852614897
13161,8606,8644,38,0.4396112910689496
13163,9626,9962,336,3.3728167034731986
13165,2722,3072,350,11.393229166666668
13167,2422,2822,400,14.174344436569807
13169,8298,8150,-148,-1.815950920245399
13171,7480,9232,1752,18.977469670710573
13173,2822,2888,66,2.285318559556787
13175,36418,40076,3658,9.127657450843397
13177,13902,15232,1330,8.731617647058822
13179,38292,39222,930,2.371118249961756
13181,2610,2854,244,8.549404344779257
13183,1298,2736,1438,52.55847953216374
13185,99622,99438,-184,-0.18503992437498742
13187,12834,16864,4030,23.897058823529413
13189,13670,14534,864,5.944681436631347
13191,3386,3476,90,2.5891829689298045
13193,5400,5750,350,6.086956521739131
13195,7220,7832,612,7.814096016343207
13197,2254,2614,360,13.771996939556235
13199,8808,9326,518,5.554364143255415
13201,3394,3780,386,10.211640211640212
13205,13634,13334,-300,-2.2498875056247187
13207,15288,16196,908,5.6063225487774755
13209,2996,3034,38,1.2524719841793013
13211,14258,17286,3028,17.517065833622585
13213,15220,16540,1320,7.980652962515116
13215,189106,182946,-6160,-3.367113793141145
13217,51380,51264,-116,-0.2262796504369538
13219,28036,29918,1882,6.290527441673908
13221,3790,4098,308,7.515861395802831
13223,50676,60050,9374,15.610324729392172
13225,19972,21094,1122,5.3190480705413865
13227,15658,17866,2208,12.358670099630583
13229,8452,9452,1000,10.579771476936099
13231,6042,6884,842,12.231260894828589
13233,22800,22736,-64,-0.28149190710767064
13235,5536,5614,78,1.389383683648023
13237,11294,12778,1484,11.613711065894506
13239,566,616,50,8.116883116883116
13241,10472,11612,1140,9.817430244574577
13243,3892,3568,-324,-9.080717488789238
13245,208534,208752,218,0.10443013719629032
13247,65900,72858,6958,9.550083724505203
13249,1669,2272,603,26.54049295774648
13251,6214,5820,-394,-6.769759450171821
13253,4894,5096,202,3.9638932496075356
13255,45640,47438,1798,3.7902103798642437
13257,17220,17574,354,2.0143393649709798
13259,2938,3350,412,12.298507462686567
13261,21422,20992,-430,-2.0483993902439024
13263,1542,1676,134,7.995226730310262
13265,289,436,147,33.715596330275226
13267,11532,11596,64,0.5519144532597448
13269,3036,3286,250,7.608034083992695
13271,4668,4158,-510,-12.265512265512266
13273,4118,4466,348,7.792207792207792
13275,40104,42110,2006,4.763714082165756
13277,42146,45074,2928,6.495984381239738
13279,24506,24952,446,1.7874318691888424
13281,6514,6920,406,5.867052023121387
13283,2108,2146,38,1.7707362534948743
13285,80426,82880,2454,2.960907335907336
13287,3840,4020,180,4.477611940298507
13289,4024,3336,-688,-20.623501199040767
13291,13898,15710,1812,11.53405474220242
13293,13478,14416,938,6.506659267480577
13295,26590,30172,3582,11.871934243669626
13297,46422,54742,8320,15.19856782726243
13299,30982,29534,-1448,-4.902823864021128
13301,2481,3358,877,26.11673615247171
13303,12504,12926,422,3.2647377378926192
13305,16218,17316,1098,6.340956340956342
13307,910,1138,228,20.035149384885763
13309,2154,2492,338,13.563402889245586
13311,18200,19270,1070,5.552672548002076
13313,112162,116008,3846,3.315288600786152
13315,1743,2308,565,24.48006932409012
13317,5192,5490,298,5.428051001821493
13319,7204,5748,-1456,-25.33054975643702
13321,6082,6022,-60,-0.9963467286615741
13999,255358,442724,187366,42.32117526946811
15000,1442728,1412139,-30589,-2.1661465337335772
15001,146214,149526,3312,2.21499939809799
15003,940058,915060,-24998,-2.7318427206959104
15007,63640,60578,-3062,-5.054640298458186
15009,154312,137121,-17191,-12.537102267340524
15999,3512,13114,9602,73.21946011895683
16000,1608594,1836587,227993,12.413950441770522
16001,507792,572660,64868,11.327489260643315
16003,1894,1992,98,4.919678714859438
16005,67248,73994,6746,9.116955428818553
16007,3228,3850,622,16.155844155844157
16009,6778,6684,-94,-1.4063435068821066
16011,29430,31396,1966,6.261944196712957
16013,26382,29860,3478,11.647689216342934
16015,3261,3836,575,14.989572471324298
16017,28572,32252,3680,11.410145107280169
16019,106378,124964,18586,14.873083448033034
16021,6958,7840,882,11.25
16023,18120,20438,2318,11.341618553674527
16025,566,682,116,17.008797653958943
16027,141910,177220,35310,19.924387766617762
16029,6842,7052,210,2.977878615995462
16031,22662,24528,1866,7.607632093933464
16033,446,536,90,16.791044776119403
16035,5158,5566,408,7.330219187926698
16037,2458,2930,472,16.109215017064844
16039,14024,14914,890,5.967547271020518
16041,7096,8600,1504,17.488372093023255
16043,5586,6914,1328,19.207405264680357
16045,7414,9222,1808,19.605291693775754
16047,11956,13256,1300,9.806879903439953
16049,8514,9174,660,7.194244604316546
16051,12470,15964,3494,21.886745176647455
16053,20512,23572,3060,12.981503478703546
16055,124300,140102,15802,11.278925354384663
16057,22332,29212,6880,23.551964945912637
16059,4716,5564,848,15.240833932422717
16061,3166,3290,124,3.768996960486322
16063,2821,3522,701,19.903463940942643
16065,31576,35188,3612,10.264863021484597
16067,15626,18600,2974,15.989247311827956
16069,41164,44052,2888,6.555888495414511
16071,1892,3364,1472,43.75743162901308
16073,5816,6090,274,4.499178981937603
16075,12848,14010,1162,8.294075660242683
16077,6402,7782,1380,17.733230531996917
16079,9638,9916,278,2.803549818475192
16081,6484,9088,2604,28.653169014084508
16083,78048,84478,6430,7.611449134685953
16085,9484,10932,1448,13.245517746066593
16087,5414,6072,658,10.836627140974967
16999,26604,48942,22338,45.64178006620081
17000,12591810,12920009,328199,2.5402381685647435
17001,60533,61073,540,0.8841877752853142
17003,1984,1782,-202,-11.335578002244668
17005,8542,9052,510,5.634114007954043
17007,33522,23192,-10330,-44.54122111072783
17009,8407,8929,522,5.846119386269459
17011,21898,20174,-1724,-8.545652820461981
17013,1374,1452,78,5.371900826446281
17015,7868,7782,-86,-1.1051143664867642
17017,10966,10988,22,0.2002184200946487
17019,156524,164098,7574,4.615534619556606
17021,17210,16918,-292,-1.725972337155692
17023,9052,8824,-228,-2.5838621940163193
17025,10218,9396,-822,-8.748403575989784
17027,21302,22011,709,3.221116714370088
17029,42690,44393,1703,3.8361903903768613
17031,5155950,5163622,7672,0.14857787808635103
17033,12359,13067,708,5.41822912680799
17035,5650,6014,364,6.052544063851014
17037,63313,63252,-61,-0.0964396382723076
17039,9326,9956,630,6.327842507030936
17041,14766,15454,688,4.451921832535266
17043,1171763,1208021,36258,3.0014378889108717
17045,12874,12851,-23,-0.17897439887946462
17047,4230,4162,-68,-1.6338298894762133
17049,43547,45131,1584,3.509782632780129
17051,9396,8734,-662,-7.579574078314632
17053,9242,11138,1896,17.022804812354103
17055,17432,17694,262,1.4807279303718774
17057,14165,14703,538,3.659117186968646
17059,1838,1826,-12,-0.6571741511500547
17061,4688,4552,-136,-2.987697715289982
17063,40296,43156,2860,6.627120215033831
17065,3950,4116,166,4.033041788143829
17067,7790,8224,434,5.277237354085603
17069,1228,1588,360,22.670025188916874
17071,2066,2362,296,12.531752751905165
17073,24240,23789,-451,-1.8958342090882339
17075,14738,14492,-246,-1.6974882693900084
17077,41152,40917,-235,-0.5743334066524916
17079,3936,4324,388,8.973172987974099
17081,37186,36508,-678,-1.8571272049961653
17083,9500,10374,874,8.424908424908425
17085,13538,14564,1026,7.044767920900852
17087,3403,3617,214,5.916505391208184
17089,385638,399392,13754,3.4437344764041344
17091,83546,77634,-5912,-7.615220135507639
17093,56004,60778,4774,7.854815887327652
17095,32183,30752,-1431,-4.653355879292404
17097,626178,619305,-6873,-1.1097924286094896
17099,83372,79240,-4132,-5.214538112064614
17101,7840,6587,-1253,-19.02231668437832
17103,25790,25292,-498,-1.9690020559860826
17105,23948,25257,1309,5.182721621728629
17107,15947,14204,-1743,-12.271191213742608
17109,17081,17144,63,0.36747550163322446
17111,187978,193434,5456,2.8206003081154294
17113,151587,167530,15943,9.516504506655524
17115,89668,84940,-4728,-5.566282081469272
17117,20040,20408,368,1.803214425715406
17119,205444,207770,2326,1.1195071473263705
17121,24880,25466,586,2.3011073588313833
17123,5592,5616,24,0.4273504273504274
17125,5690,5546,-144,-2.596465921384782
17127,6074,5782,-292,-5.050155655482532
17129,3304,3504,200,5.707762557077626
17131,6064,6038,-26,-0.4306061609804571
17133,16424,16938,514,3.0345967646711536
