area_fips,2020,2023,difference,percentage_of_2023
01000,4318867,4591025,272158,5.928044390958446
01001,22154,24274,2120,8.73362445414847
01003,148596,165450,16854,10.186763372620126
01005,16282,15318,-964,-6.293249771510641
01007,9680,9702,22,0.22675736961451248
01009,17092,17910,818,4.567280848687884
01011,5928,5728,-200,-3.4916201117318435
01013,13632,13872,240,1.7301038062283738
01015,88656,85960,-2696,-3.136342484876687
01017,17088,17858,770,4.3117930339343715
01019,10196,10528,332,3.1534954407294835
01021,18892,18176,-716,-3.939260563380282
01023,6880,6678,-202,-3.024857741838874
01025,16084,16442,358,2.177350687264323
01027,8716,8520,-196,-2.3004694835680755
01029,4220,5346,1126,21.062476618032175
01031,32438,34394,1956,5.687038436936675
01033,47490,48082,592,1.2312299821138888
01035,6724,6636,-88,-1.3261000602772754
01037,2796,3000,204,6.800000000000001
01039,23856,24218,362,1.494755966636386
01041,7168,7236,68,0.9397457158651189
01043,57626,61722,4096,6.636207511098149
01045,34254,36210,1956,5.40182270091135
01047,23958,22748,-1210,-5.319148936170213
01049,44400,46558,2158,4.635078826410069
01051,39412,41568,2156,5.186682063125481
01053,25440,25916,476,1.8367031949374903
01055,69132,65950,-3182,-4.824867323730098
01057,7946,7628,-318,-4.16885159937074
01059,21998,21654,-344,-1.588621039992611
01061,10112,10834,722,6.664205279675096
01063,3798,3744,-54,-1.4423076923076923
01065,5320,5288,-32,-0.6051437216338881
01067,7084,8034,950,11.824744834453572
01069,97452,102210,4758,4.655121808042266
01071,30238,31334,1096,3.497797919193209
01073,702216,734924,32708,4.450528217883754
01075,6814,6944,130,1.8721198156682026
01077,58528,62308,3780,6.066636707966874
01079,10006,11336,1330,11.732533521524347
01081,119476,134398,14922,11.102843792318339
01083,47714,66566,18852,28.320764354174806
01085,4348,5996,1648,27.484989993328885
01087,9526,9486,-40,-0.421674045962471
01089,417216,459808,42592,9.262996729069526
01091,14630,14826,196,1.3220018885741265
01093,20446,21706,1260,5.804846586197365
01095,75794,81832,6038,7.37853162576987
01097,341922,345294,3372,0.9765591061530174
01099,12644,11866,-778,-6.556548120680937
01101,258582,267238,8656,3.2390603132788
01103,100352,104752,4400,4.200397128455782
01105,4006,3608,-398,-11.031042128603104
01107,7482,7672,190,2.4765380604796663
01109,25777,30752,4975,16.17780957336108
01111,9440,9894,454,4.588639579543157
01113,28082,28580,498,1.7424772568229532
01115,38980,43398,4418,10.180192635605327
01117,168492,173396,4904,2.8282082631663936
01119,5786,5860,74,1.2627986348122866
01121,60660,63444,2784,4.3881218082088145
01123,25792,25480,-312,-1.2244897959183674
01125,195026,198370,3344,1.6857387709835157
01127,36024,37310,1286,3.4467971053336903
